"cigar"[3]: ["raise","trail","cigar"]
"seven"[3]: ["raise","spent","seven"]
"dryer"[5]: ["raise","mower","leper","tuber","dryer"]
"diary"[3]: ["raise","trail","diary"]
"dryly"[4]: ["raise","broth","wrung","dryly"]
"drank"[4]: ["raise","graft","drawn","drank"]
"acrid"[3]: ["raise","trail","acrid"]
"heady"[5]: ["raise","gleam","annex","beady","heady"]
"theta"[3]: ["raise","gleam","theta"]
"junto"[4]: ["raise","thong","donut","junto"]
"pixie"[4]: ["raise","binge","tithe","pixie"]
"quoth"[3]: ["raise","thong","quoth"]
"bonus"[3]: ["raise","slunk","bonus"]
"shalt"[4]: ["raise","scant","shaft","shalt"]
"penne"[3]: ["raise","fudge","penne"]
"amend"[4]: ["raise","gleam","enema","amend"]
"datum"[3]: ["raise","mangy","datum"]
"build"[5]: ["raise","owing","chick","built","build"]
"piano"[4]: ["raise","antic","final","piano"]
"shelf"[4]: ["raise","spent","smell","shelf"]
"lodge"[3]: ["raise","fudge","lodge"]
"suing"[5]: ["raise","spiky","stiff","swing","suing"]
"rearm"[3]: ["raise","realm","rearm"]
"coral"[4]: ["raise","graft","molar","coral"]
"ramen"[3]: ["raise","racer","ramen"]
"worth"[3]: ["raise","broth","worth"]
"psalm"[3]: ["raise","scant","psalm"]
"infer"[4]: ["raise","liner","inter","infer"]
"overt"[3]: ["raise","mower","overt"]
"mayor"[5]: ["raise","macro","manor","major","mayor"]
"ovoid"[3]: ["raise","folio","ovoid"]
"glide"[5]: ["raise","white","opine","guile","glide"]
"usage"[3]: ["raise","stave","usage"]
"poise"[2]: ["raise","poise"]
"randy"[3]: ["raise","rally","randy"]
"chuck"[4]: ["raise","thong","chump","chuck"]
"prank"[5]: ["raise","graft","drawn","crank","prank"]
"fishy"[3]: ["raise","bison","fishy"]
"tooth"[3]: ["raise","thong","tooth"]
"ether"[5]: ["raise","mower","leper","enter","ether"]
"drove"[3]: ["raise","drone","drove"]
"idler"[3]: ["raise","liner","idler"]
"swath"[4]: ["raise","scant","stalk","swath"]
"stint"[6]: ["raise","spiky","stiff","still","sting","stint"]
"while"[3]: ["raise","white","while"]
"begat"[3]: ["raise","gleam","begat"]
"apply"[4]: ["raise","allay","aptly","apply"]
"slang"[4]: ["raise","scant","shank","slang"]
"tarot"[3]: ["raise","macro","tarot"]
"radar"[4]: ["raise","rally","rajah","radar"]
"credo"[4]: ["raise","mower","overt","credo"]
"aware"[4]: ["raise","crane","blare","aware"]
"canon"[4]: ["raise","mangy","banal","canon"]
"shift"[5]: ["raise","spiky","stiff","swift","shift"]
"timer"[6]: ["raise","liner","piper","wider","tiger","timer"]
"bylaw"[3]: ["raise","allay","bylaw"]
"serum"[3]: ["raise","sheer","serum"]
"three"[5]: ["raise","drone","merge","puree","three"]
"steak"[2]: ["raise","steak"]
"iliac"[3]: ["raise","axial","iliac"]
"shirk"[2]: ["raise","shirk"]
"blunt"[3]: ["raise","thong","blunt"]
"puppy"[5]: ["raise","thong","fully","dumpy","puppy"]
"penal"[4]: ["raise","gleam","pedal","penal"]
"joist"[2]: ["raise","joist"]
"bunny"[4]: ["raise","thong","funny","bunny"]
"shape"[7]: ["raise","stave","shale","shade","shame","shake","shape"]
"beget"[4]: ["raise","fleck","penny","beget"]
"wheel"[4]: ["raise","fleck","quell","wheel"]
"adept"[4]: ["raise","gleam","theta","adept"]
"stunt"[4]: ["raise","slunk","stung","stunt"]
"stole"[3]: ["raise","stoke","stole"]
"topaz"[4]: ["raise","allay","human","topaz"]
"chore"[3]: ["raise","drone","chore"]
"fluke"[3]: ["raise","fudge","fluke"]
"afoot"[5]: ["raise","allay","adopt","about","afoot"]
"bloat"[5]: ["raise","allay","gloat","float","bloat"]
"bully"[4]: ["raise","thong","fully","bully"]
"dense"[4]: ["raise","moose","tense","dense"]
"caper"[7]: ["raise","gayer","wafer","maker","later","paper","caper"]
"sneer"[3]: ["raise","sheer","sneer"]
"boxer"[4]: ["raise","mower","hover","boxer"]
"jumbo"[4]: ["raise","thong","jolly","jumbo"]
"lunge"[3]: ["raise","fudge","lunge"]
"space"[5]: ["raise","stave","shale","spade","space"]
"avail"[4]: ["raise","antic","audio","avail"]
"short"[3]: ["raise","surly","short"]
"slurp"[3]: ["raise","surly","slurp"]
"loyal"[3]: ["raise","allay","loyal"]
"flirt"[4]: ["raise","wring","third","flirt"]
"pizza"[4]: ["raise","antic","villa","pizza"]
"conch"[3]: ["raise","thong","conch"]
"tempo"[5]: ["raise","fleck","penny","depot","tempo"]
"droop"[4]: ["raise","broth","proud","droop"]
"plate"[4]: ["raise","blade","flame","plate"]
"bible"[4]: ["raise","binge","biome","bible"]
"plunk"[4]: ["raise","thong","funny","plunk"]
"afoul"[4]: ["raise","allay","awful","afoul"]
"savoy"[6]: ["raise","sandy","sally","saucy","savvy","savoy"]
"steep"[3]: ["raise","spent","steep"]
"agile"[4]: ["raise","abide","alike","agile"]
"stake"[3]: ["raise","stave","stake"]
"dwell"[4]: ["raise","fleck","quell","dwell"]
"knave"[5]: ["raise","blade","ovate","weave","knave"]
"beard"[5]: ["raise","feral","heart","yearn","beard"]
"arose"[2]: ["raise","arose"]
"motif"[3]: ["raise","folio","motif"]
"smash"[5]: ["raise","quash","swash","slash","smash"]
"broil"[4]: ["raise","dirty","groin","broil"]
"glare"[4]: ["raise","crane","blare","glare"]
"shove"[4]: ["raise","stoke","scone","shove"]
"baggy"[3]: ["raise","mangy","baggy"]
"mammy"[3]: ["raise","mangy","mammy"]
"swamp"[3]: ["raise","scant","swamp"]
"along"[3]: ["raise","allay","along"]
"rugby"[3]: ["raise","ruddy","rugby"]
"wager"[4]: ["raise","gayer","lager","wager"]
"quack"[5]: ["raise","allay","dogma","chant","quack"]
"squat"[4]: ["raise","scant","splat","squat"]
"snaky"[4]: ["raise","scant","spawn","snaky"]
"debit"[4]: ["raise","liken","fetid","debit"]
"mange"[4]: ["raise","gauge","badge","mange"]
"skate"[4]: ["raise","stave","slate","skate"]
"ninth"[5]: ["raise","folio","tight","ditch","ninth"]
"joust"[3]: ["raise","bossy","joust"]
"tramp"[5]: ["raise","graft","track","trawl","tramp"]
"spurn"[3]: ["raise","surly","spurn"]
"medal"[4]: ["raise","gleam","metal","medal"]
"micro"[4]: ["raise","dirty","vigor","micro"]
"rebel"[4]: ["raise","roger","revel","rebel"]
"flank"[5]: ["raise","allay","gland","plank","flank"]
"learn"[3]: ["raise","feral","learn"]
"nadir"[3]: ["raise","tapir","nadir"]
"maple"[5]: ["raise","gauge","lathe","fable","maple"]
"comfy"[7]: ["raise","thong","jolly","dowdy","poppy","bobby","comfy"]
"remit"[3]: ["raise","relic","remit"]
"gruff"[4]: ["raise","broth","wrung","gruff"]
"ester"[3]: ["raise","sheer","ester"]
"least"[4]: ["raise","feast","yeast","least"]
"mogul"[4]: ["raise","thong","godly","mogul"]
"fetch"[3]: ["raise","fleck","fetch"]
"cause"[3]: ["raise","pause","cause"]
"oaken"[3]: ["raise","cadet","oaken"]
"aglow"[3]: ["raise","allay","aglow"]
"meaty"[4]: ["raise","gleam","meant","meaty"]
"gaffe"[3]: ["raise","gauge","gaffe"]
"shyly"[4]: ["raise","slunk","stool","shyly"]
"racer"[2]: ["raise","racer"]
"prowl"[4]: ["raise","broth","proud","prowl"]
"thief"[4]: ["raise","eking","chief","thief"]
"stern"[3]: ["raise","sheer","stern"]
"poesy"[4]: ["raise","quest","flesh","poesy"]
"rocky"[4]: ["raise","ruddy","roomy","rocky"]
"tweet"[4]: ["raise","fleck","tweed","tweet"]
"waist"[3]: ["raise","daisy","waist"]
"spire"[3]: ["raise","shire","spire"]
"grope"[5]: ["raise","drone","probe","trope","grope"]
"havoc"[4]: ["raise","mangy","patch","havoc"]
"patsy"[3]: ["raise","gassy","patsy"]
"truly"[4]: ["raise","broth","crypt","truly"]
"forty"[3]: ["raise","broth","forty"]
"deity"[4]: ["raise","eking","chief","deity"]
"uncle"[4]: ["raise","fudge","plume","uncle"]
"swish"[4]: ["raise","joist","whisk","swish"]
"giver"[6]: ["raise","liner","piper","wider","tiger","giver"]
"preen"[5]: ["raise","mower","freed","creep","preen"]
"bevel"[5]: ["raise","fleck","lumen","jewel","bevel"]
"lemur"[3]: ["raise","mower","lemur"]
"draft"[3]: ["raise","graft","draft"]
"slope"[5]: ["raise","stoke","scone","shove","slope"]
"annoy"[4]: ["raise","allay","aunty","annoy"]
"lingo"[3]: ["raise","folio","lingo"]
"bleak"[4]: ["raise","gleam","bleat","bleak"]
"ditty"[5]: ["raise","folio","tight","bitty","ditty"]
"curly"[4]: ["raise","broth","curvy","curly"]
"cedar"[3]: ["raise","feral","cedar"]
"dirge"[3]: ["raise","eerie","dirge"]
"grown"[6]: ["raise","broth","proud","crown","frown","grown"]
"horde"[3]: ["raise","drone","horde"]
"drool"[5]: ["raise","broth","proud","droll","drool"]
"shuck"[4]: ["raise","slunk","stuck","shuck"]
"crypt"[3]: ["raise","broth","crypt"]
"cumin"[5]: ["raise","folio","unzip","tunic","cumin"]
"stock"[3]: ["raise","slunk","stock"]
"gravy"[4]: ["raise","graft","graph","gravy"]
"locus"[4]: ["raise","slunk","lusty","locus"]
"wider"[4]: ["raise","liner","piper","wider"]
"breed"[4]: ["raise","mower","freed","breed"]
"quite"[4]: ["raise","white","unite","quite"]
"chafe"[4]: ["raise","blade","ovate","chafe"]
"cache"[4]: ["raise","gauge","lathe","cache"]
"blimp"[5]: ["raise","owing","chick","built","blimp"]
"deign"[4]: ["raise","eking","feign","deign"]
"fiend"[3]: ["raise","liken","fiend"]
"logic"[3]: ["raise","folio","logic"]
"cheap"[4]: ["raise","gleam","cheat","cheap"]
"elide"[5]: ["raise","white","opine","guile","elide"]
"rigid"[3]: ["raise","robin","rigid"]
"false"[4]: ["raise","pause","masse","false"]
"renal"[4]: ["raise","realm","regal","renal"]
"pence"[4]: ["raise","fudge","penne","pence"]
"rowdy"[3]: ["raise","ruddy","rowdy"]
"shoot"[5]: ["raise","slunk","swoop","stood","shoot"]
"blaze"[3]: ["raise","blade","blaze"]
"envoy"[5]: ["raise","fleck","penny","enjoy","envoy"]
"posse"[4]: ["raise","moose","copse","posse"]
"brief"[4]: ["raise","cried","grief","brief"]
"never"[4]: ["raise","mower","leper","never"]
"abort"[3]: ["raise","graft","abort"]
"mouse"[3]: ["raise","moose","mouse"]
"mucky"[5]: ["raise","thong","fully","dumpy","mucky"]
"sulky"[3]: ["raise","slunk","sulky"]
"fiery"[3]: ["raise","liner","fiery"]
"media"[3]: ["raise","ideal","media"]
"trunk"[4]: ["raise","broth","crypt","trunk"]
"yeast"[3]: ["raise","feast","yeast"]
"clear"[3]: ["raise","feral","clear"]
"skunk"[4]: ["raise","slunk","spunk","skunk"]
"scalp"[3]: ["raise","scant","scalp"]
"bitty"[4]: ["raise","folio","tight","bitty"]
"cider"[5]: ["raise","liner","piper","wider","cider"]
"koala"[3]: ["raise","allay","koala"]
"duvet"[5]: ["raise","fleck","penny","totem","duvet"]
"segue"[3]: ["raise","stoke","segue"]
"creme"[3]: ["raise","drone","creme"]
"super"[4]: ["raise","sheer","surer","super"]
"grill"[3]: ["raise","wring","grill"]
"after"[3]: ["raise","feral","after"]
"owner"[3]: ["raise","mower","owner"]
"ember"[3]: ["raise","mower","ember"]
"reach"[4]: ["raise","realm","react","reach"]
"nobly"[4]: ["raise","thong","colon","nobly"]
"empty"[5]: ["raise","fleck","penny","epoxy","empty"]
"speed"[5]: ["raise","spent","speck","spell","speed"]
"gipsy"[3]: ["raise","tipsy","gipsy"]
"recur"[3]: ["raise","roger","recur"]
"smock"[5]: ["raise","slunk","stock","shock","smock"]
"dread"[5]: ["raise","feral","bread","tread","dread"]
"merge"[3]: ["raise","drone","merge"]
"burst"[2]: ["raise","burst"]
"kappa"[4]: ["raise","mangy","patch","kappa"]
"amity"[4]: ["raise","axial","aging","amity"]
"shaky"[5]: ["raise","scant","swamp","shady","shaky"]
"hover"[3]: ["raise","mower","hover"]
"carol"[3]: ["raise","macro","carol"]
"snort"[5]: ["raise","surly","short","sport","snort"]
"synod"[4]: ["raise","slunk","shown","synod"]
"faint"[3]: ["raise","paint","faint"]
"haunt"[4]: ["raise","mangy","daunt","haunt"]
"flour"[4]: ["raise","broth","floor","flour"]
"chair"[3]: ["raise","trail","chair"]
"detox"[5]: ["raise","fleck","penny","beget","detox"]
"shrew"[3]: ["raise","sheer","shrew"]
"tense"[3]: ["raise","moose","tense"]
"plied"[5]: ["raise","eking","chief","quiet","plied"]
"quark"[4]: ["raise","graft","chard","quark"]
"burly"[4]: ["raise","broth","blurb","burly"]
"novel"[4]: ["raise","fleck","lumen","novel"]
"waxen"[5]: ["raise","cadet","oaken","haven","waxen"]
"stoic"[4]: ["raise","bison","spoil","stoic"]
"jerky"[5]: ["raise","mower","trend","perky","jerky"]
"blitz"[5]: ["raise","owing","chick","built","blitz"]
"beefy"[3]: ["raise","fleck","beefy"]
"lyric"[3]: ["raise","dirty","lyric"]
"hussy"[3]: ["raise","bossy","hussy"]
"towel"[8]: ["raise","fleck","lumen","jewel","vowel","bowel","dowel","towel"]
"quilt"[5]: ["raise","owing","chick","built","quilt"]
"below"[5]: ["raise","fleck","lumen","belly","below"]
"bingo"[4]: ["raise","folio","dingo","bingo"]
"wispy"[4]: ["raise","bison","fishy","wispy"]
"brash"[5]: ["raise","grass","crash","trash","brash"]
"scone"[3]: ["raise","stoke","scone"]
"toast"[6]: ["raise","quash","spasm","blast","coast","toast"]
"easel"[2]: ["raise","easel"]
"saucy"[4]: ["raise","sandy","sally","saucy"]
"value"[3]: ["raise","gauge","value"]
"spice"[5]: ["raise","spine","spite","spike","spice"]
"honor"[5]: ["raise","broth","hydro","humor","honor"]
"route"[3]: ["raise","rogue","route"]
"sharp"[3]: ["raise","spark","sharp"]
"bawdy"[5]: ["raise","mangy","cabby","badly","bawdy"]
"radii"[4]: ["raise","rabid","radio","radii"]
"skull"[3]: ["raise","slunk","skull"]
"phony"[3]: ["raise","thong","phony"]
"issue"[3]: ["raise","siege","issue"]
"lager"[3]: ["raise","gayer","lager"]
"swell"[5]: ["raise","spent","smell","shell","swell"]
"urine"[6]: ["raise","crime","bride","write","gripe","urine"]
"gassy"[2]: ["raise","gassy"]
"trial"[3]: ["raise","triad","trial"]
"flora"[4]: ["raise","graft","foray","flora"]
"upper"[5]: ["raise","mower","leper","hyper","upper"]
"latch"[4]: ["raise","mangy","patch","latch"]
"wight"[6]: ["raise","folio","tight","might","night","wight"]
"brick"[7]: ["raise","wring","frill","trick","crick","prick","brick"]
"retry"[3]: ["raise","roger","retry"]
"holly"[3]: ["raise","thong","holly"]
"decal"[4]: ["raise","gleam","pedal","decal"]
"grass"[2]: ["raise","grass"]
"shack"[5]: ["raise","scant","smack","slack","shack"]
"dogma"[3]: ["raise","allay","dogma"]
"mover"[3]: ["raise","mower","mover"]
"defer"[6]: ["raise","mower","leper","never","deter","defer"]
"sober"[5]: ["raise","sheer","surer","sower","sober"]
"optic"[3]: ["raise","folio","optic"]
"crier"[3]: ["raise","cried","crier"]
"vying"[3]: ["raise","owing","vying"]
"nomad"[4]: ["raise","allay","human","nomad"]
"flute"[5]: ["raise","fudge","fluke","flume","flute"]
"hippo"[4]: ["raise","folio","dingo","hippo"]
"shark"[3]: ["raise","spark","shark"]
"drier"[3]: ["raise","cried","drier"]
"obese"[3]: ["raise","moose","obese"]
"bugle"[3]: ["raise","fudge","bugle"]
"tawny"[3]: ["raise","mangy","tawny"]
"chalk"[4]: ["raise","allay","loath","chalk"]
"feast"[2]: ["raise","feast"]
"ruddy"[2]: ["raise","ruddy"]
"pedal"[3]: ["raise","gleam","pedal"]
"scarf"[3]: ["raise","spark","scarf"]
"cruel"[5]: ["raise","mower","freed","gruel","cruel"]
"bleat"[3]: ["raise","gleam","bleat"]
"tidal"[3]: ["raise","antic","tidal"]
"slush"[3]: ["raise","bossy","slush"]
"semen"[4]: ["raise","spent","seven","semen"]
"windy"[5]: ["raise","folio","tight","pinky","windy"]
"dusty"[6]: ["raise","slunk","bushy","gusty","musty","dusty"]
"sally"[3]: ["raise","sandy","sally"]
"igloo"[3]: ["raise","folio","igloo"]
"nerdy"[4]: ["raise","mower","trend","nerdy"]
"jewel"[4]: ["raise","fleck","lumen","jewel"]
"shone"[4]: ["raise","stoke","scone","shone"]
"whale"[4]: ["raise","blade","leave","whale"]
"hymen"[4]: ["raise","fleck","penny","hymen"]
"abuse"[4]: ["raise","lease","amuse","abuse"]
"fugue"[3]: ["raise","fudge","fugue"]
"elbow"[3]: ["raise","fleck","elbow"]
"crumb"[3]: ["raise","broth","crumb"]
"pansy"[5]: ["raise","gassy","patsy","palsy","pansy"]
"welsh"[3]: ["raise","quest","welsh"]
"syrup"[3]: ["raise","surly","syrup"]
"terse"[4]: ["raise","worse","verse","terse"]
"suave"[3]: ["raise","stave","suave"]
"gamut"[4]: ["raise","mangy","gamma","gamut"]
"swung"[4]: ["raise","slunk","stung","swung"]
"drake"[3]: ["raise","crane","drake"]
"freed"[3]: ["raise","mower","freed"]
"afire"[2]: ["raise","afire"]
"shirt"[3]: ["raise","shirk","shirt"]
"grout"[4]: ["raise","broth","trout","grout"]
"oddly"[4]: ["raise","thong","jolly","oddly"]
"tithe"[3]: ["raise","binge","tithe"]
"plaid"[3]: ["raise","antic","plaid"]
"dummy"[5]: ["raise","thong","fully","dumpy","dummy"]
"broom"[3]: ["raise","broth","broom"]
"blind"[4]: ["raise","owing","blink","blind"]
"torch"[3]: ["raise","broth","torch"]
"enemy"[4]: ["raise","fleck","tweed","enemy"]
"again"[3]: ["raise","antic","again"]
"tying"[6]: ["raise","owing","vying","dying","lying","tying"]
"pesky"[3]: ["raise","spent","pesky"]
"alter"[3]: ["raise","feral","alter"]
"gazer"[4]: ["raise","gayer","gamer","gazer"]
"noble"[4]: ["raise","fudge","penne","noble"]
"ethos"[4]: ["raise","spent","zesty","ethos"]
"bride"[3]: ["raise","crime","bride"]
"extol"[5]: ["raise","fleck","lumen","belly","extol"]
"decor"[3]: ["raise","mower","decor"]
"hobby"[5]: ["raise","thong","holly","howdy","hobby"]
"beast"[5]: ["raise","feast","yeast","least","beast"]
"idiom"[4]: ["raise","owing","idiot","idiom"]
"utter"[5]: ["raise","mower","leper","tuber","utter"]
"these"[4]: ["raise","moose","tense","these"]
"sixth"[3]: ["raise","bison","sixth"]
"alarm"[6]: ["raise","graft","chard","quark","ovary","alarm"]
"erase"[3]: ["raise","arose","erase"]
"elegy"[4]: ["raise","fleck","bleed","elegy"]
"spunk"[3]: ["raise","slunk","spunk"]
"piper"[3]: ["raise","liner","piper"]
"scaly"[5]: ["raise","scant","scalp","scald","scaly"]
"scold"[4]: ["raise","slunk","stool","scold"]
"hefty"[4]: ["raise","fleck","unfed","hefty"]
"chick"[3]: ["raise","owing","chick"]
"sooty"[5]: ["raise","slunk","swoop","sooth","sooty"]
"canal"[4]: ["raise","mangy","banal","canal"]
"whiny"[3]: ["raise","owing","whiny"]
"slash"[4]: ["raise","quash","swash","slash"]
"quake"[6]: ["raise","blade","ovate","chafe","agape","quake"]
"joint"[4]: ["raise","owing","point","joint"]
"swept"[3]: ["raise","spent","swept"]
"prude"[3]: ["raise","drone","prude"]
"heavy"[5]: ["raise","gleam","annex","beady","heavy"]
"wield"[5]: ["raise","liken","field","yield","wield"]
"femme"[3]: ["raise","fudge","femme"]
"lasso"[3]: ["raise","gassy","lasso"]
"maize"[3]: ["raise","waive","maize"]
"shale"[3]: ["raise","stave","shale"]
"screw"[3]: ["raise","sheer","screw"]
"spree"[3]: ["raise","shore","spree"]
"smoky"[3]: ["raise","slunk","smoky"]
"whiff"[4]: ["raise","owing","which","whiff"]
"scent"[3]: ["raise","spent","scent"]
"glade"[3]: ["raise","blade","glade"]
"spent"[2]: ["raise","spent"]
"prism"[2]: ["raise","prism"]
"stoke"[2]: ["raise","stoke"]
"riper"[3]: ["raise","relic","riper"]
"orbit"[3]: ["raise","dirty","orbit"]
"cocoa"[4]: ["raise","allay","dogma","cocoa"]
"guilt"[4]: ["raise","owing","guild","guilt"]
"humus"[4]: ["raise","slunk","bushy","humus"]
"shush"[4]: ["raise","bossy","slush","shush"]
"table"[4]: ["raise","gauge","lathe","table"]
"smirk"[3]: ["raise","shirk","smirk"]
"wrong"[5]: ["raise","broth","proud","crown","wrong"]
"noisy"[3]: ["raise","joist","noisy"]
"alert"[4]: ["raise","feral","alter","alert"]
"shiny"[4]: ["raise","spiky","slimy","shiny"]
"elate"[5]: ["raise","blade","flame","plate","elate"]
"resin"[3]: ["raise","risen","resin"]
"whole"[5]: ["raise","fudge","penne","bloke","whole"]
"hunch"[5]: ["raise","thong","bunch","munch","hunch"]
"pixel"[4]: ["raise","liken","filet","pixel"]
"polar"[4]: ["raise","graft","molar","polar"]
"hotel"[6]: ["raise","fleck","lumen","jewel","hovel","hotel"]
"sword"[5]: ["raise","surly","short","scorn","sword"]
"cleat"[5]: ["raise","gleam","bleat","pleat","cleat"]
"mango"[4]: ["raise","mangy","manga","mango"]
"rumba"[3]: ["raise","royal","rumba"]
"puffy"[4]: ["raise","thong","fully","puffy"]
"filly"[4]: ["raise","folio","filmy","filly"]
"billy"[4]: ["raise","folio","hilly","billy"]
"leash"[3]: ["raise","feast","leash"]
"clout"[4]: ["raise","thong","flout","clout"]
"dance"[6]: ["raise","gauge","lathe","maybe","canoe","dance"]
"ovate"[3]: ["raise","blade","ovate"]
"facet"[3]: ["raise","cadet","facet"]
"chili"[6]: ["raise","owing","chick","child","chill","chili"]
"paint"[2]: ["raise","paint"]
"liner"[2]: ["raise","liner"]
"curio"[3]: ["raise","dirty","curio"]
"salty"[4]: ["raise","sandy","sally","salty"]
"audio"[3]: ["raise","antic","audio"]
"snake"[5]: ["raise","stave","shale","spade","snake"]
"fable"[4]: ["raise","gauge","lathe","fable"]
"cloak"[4]: ["raise","allay","gloat","cloak"]
"navel"[5]: ["raise","cadet","oaken","panel","navel"]
"spurt"[4]: ["raise","surly","spurn","spurt"]
"pesto"[3]: ["raise","spent","pesto"]
"balmy"[3]: ["raise","mangy","balmy"]
"flash"[4]: ["raise","quash","swash","flash"]
"unwed"[5]: ["raise","fleck","penny","woven","unwed"]
"early"[3]: ["raise","gayer","early"]
"churn"[3]: ["raise","broth","churn"]
"weedy"[4]: ["raise","fleck","tweed","weedy"]
"stump"[3]: ["raise","slunk","stump"]
"lease"[2]: ["raise","lease"]
"witty"[7]: ["raise","folio","tight","bitty","ditty","kitty","witty"]
"wimpy"[5]: ["raise","folio","tight","pinky","wimpy"]
"spoof"[4]: ["raise","slunk","swoop","spoof"]
"saner"[3]: ["raise","safer","saner"]
"blend"[4]: ["raise","fleck","bleed","blend"]
"salsa"[3]: ["raise","gassy","salsa"]
"thick"[4]: ["raise","owing","chick","thick"]
"warty"[4]: ["raise","macro","party","warty"]
"manic"[2]: ["raise","manic"]
"blare"[3]: ["raise","crane","blare"]
"squib"[3]: ["raise","bison","squib"]
"spoon"[4]: ["raise","slunk","shown","spoon"]
"probe"[3]: ["raise","drone","probe"]
"crepe"[4]: ["raise","drone","creme","crepe"]
"knack"[5]: ["raise","allay","dogma","chant","knack"]
"force"[3]: ["raise","drone","force"]
"debut"[5]: ["raise","fleck","penny","beget","debut"]
"order"[4]: ["raise","mower","older","order"]
"haste"[4]: ["raise","salve","taste","haste"]
"teeth"[4]: ["raise","fleck","tweed","teeth"]
"agent"[3]: ["raise","gleam","agent"]
"widen"[4]: ["raise","liken","given","widen"]
"icily"[4]: ["raise","owing","chick","icily"]
"slice"[5]: ["raise","spine","slime","slide","slice"]
"ingot"[3]: ["raise","folio","ingot"]
"clash"[5]: ["raise","quash","swash","flash","clash"]
"juror"[5]: ["raise","broth","worry","furor","juror"]
"blood"[4]: ["raise","thong","bloom","blood"]
"abode"[3]: ["raise","blade","abode"]
"throw"[3]: ["raise","broth","throw"]
"unity"[4]: ["raise","owing","unify","unity"]
"pivot"[4]: ["raise","folio","ingot","pivot"]
"slept"[4]: ["raise","spent","swept","slept"]
"troop"[5]: ["raise","broth","trout","troll","troop"]
"spare"[6]: ["raise","share","stare","snare","scare","spare"]
"sewer"[4]: ["raise","sheer","sever","sewer"]
"parse"[2]: ["raise","parse"]
"morph"[4]: ["raise","broth","porch","morph"]
"cacti"[3]: ["raise","manic","cacti"]
"tacky"[5]: ["raise","mangy","cabby","wacky","tacky"]
"spool"[4]: ["raise","slunk","stool","spool"]
"demon"[5]: ["raise","fleck","penny","begun","demon"]
"moody"[4]: ["raise","thong","bloom","moody"]
"annex"[3]: ["raise","gleam","annex"]
"begin"[3]: ["raise","liken","begin"]
"fuzzy"[4]: ["raise","thong","fully","fuzzy"]
"patch"[3]: ["raise","mangy","patch"]
"water"[4]: ["raise","gayer","wafer","water"]
"lumpy"[5]: ["raise","thong","fully","lucky","lumpy"]
"admin"[4]: ["raise","antic","again","admin"]
"omega"[3]: ["raise","gleam","omega"]
"limit"[4]: ["raise","folio","lipid","limit"]
"tabby"[4]: ["raise","mangy","cabby","tabby"]
"macho"[4]: ["raise","mangy","macaw","macho"]
"aisle"[2]: ["raise","aisle"]
"skiff"[5]: ["raise","spiky","stick","skill","skiff"]
"basis"[2]: ["raise","basis"]
"plank"[4]: ["raise","allay","gland","plank"]
"verge"[4]: ["raise","drone","merge","verge"]
"botch"[4]: ["raise","thong","youth","botch"]
"crawl"[4]: ["raise","graft","drawn","crawl"]
"lousy"[3]: ["raise","bossy","lousy"]
"slain"[3]: ["raise","snail","slain"]
"cubic"[5]: ["raise","folio","unzip","humid","cubic"]
"raise"[1]: ["raise"]
"wrack"[4]: ["raise","graft","drawn","wrack"]
"guide"[5]: ["raise","white","opine","guile","guide"]
"foist"[5]: ["raise","joist","hoist","moist","foist"]
"cameo"[3]: ["raise","cadet","cameo"]
"under"[6]: ["raise","mower","leper","tuber","udder","under"]
"actor"[4]: ["raise","graft","altar","actor"]
"revue"[3]: ["raise","rogue","revue"]
"fraud"[3]: ["raise","graft","fraud"]
"harpy"[4]: ["raise","macro","party","harpy"]
"scoop"[4]: ["raise","slunk","swoop","scoop"]
"climb"[5]: ["raise","owing","chick","cliff","climb"]
"refer"[4]: ["raise","roger","ruder","refer"]
"olden"[4]: ["raise","fleck","elbow","olden"]
"clerk"[5]: ["raise","mower","trend","leery","clerk"]
"debar"[4]: ["raise","feral","cedar","debar"]
"tally"[6]: ["raise","mangy","cabby","paddy","fatty","tally"]
"ethic"[4]: ["raise","liken","fetid","ethic"]
"cairn"[3]: ["raise","fairy","cairn"]
"tulle"[4]: ["raise","fudge","butte","tulle"]
"ghoul"[3]: ["raise","thong","ghoul"]
"hilly"[3]: ["raise","folio","hilly"]
"crude"[4]: ["raise","drone","prude","crude"]
"apart"[3]: ["raise","graft","apart"]
"scale"[4]: ["raise","stave","shale","scale"]
"older"[3]: ["raise","mower","older"]
"plain"[3]: ["raise","antic","plain"]
"sperm"[4]: ["raise","sheer","stern","sperm"]
"briny"[5]: ["raise","wring","drink","print","briny"]
"abbot"[4]: ["raise","allay","adopt","abbot"]
"rerun"[4]: ["raise","roger","retry","rerun"]
"quest"[2]: ["raise","quest"]
"crisp"[3]: ["raise","prism","crisp"]
"bound"[3]: ["raise","thong","bound"]
"befit"[4]: ["raise","liken","fetid","befit"]
"drawn"[3]: ["raise","graft","drawn"]
"suite"[5]: ["raise","spine","slime","seize","suite"]
"itchy"[4]: ["raise","folio","tight","itchy"]
"cheer"[7]: ["raise","mower","leper","enter","freer","queer","cheer"]
"bagel"[5]: ["raise","cadet","oaken","gavel","bagel"]
"guess"[3]: ["raise","quest","guess"]
"broad"[4]: ["raise","graft","arbor","broad"]
"axiom"[3]: ["raise","axial","axiom"]
