"cigar"[3]: ["soare","lucid","cigar"]
"leaky"[3]: ["soare","letch","leaky"]
"grind"[3]: ["soare","guilt","grind"]
"carve"[3]: ["soare","cargo","carve"]
"loose"[3]: ["soare","pulmo","loose"]
"sadly"[3]: ["soare","culty","sadly"]
"spilt"[3]: ["soare","flint","spilt"]
"apple"[4]: ["soare","lungi","amply","apple"]
"slack"[3]: ["soare","clint","slack"]
"honey"[3]: ["soare","mythy","honey"]
"final"[3]: ["soare","clint","final"]
"sheen"[4]: ["soare","clipt","seedy","sheen"]
"eerie"[4]: ["soare","pried","rifle","eerie"]
"minty"[3]: ["soare","clint","minty"]
"slick"[3]: ["soare","flint","slick"]
"derby"[4]: ["soare","putid","flyby","derby"]
"wharf"[3]: ["soare","ducat","wharf"]
"spelt"[3]: ["soare","clipt","spelt"]
"coach"[3]: ["soare","latch","coach"]
"erupt"[3]: ["soare","putid","erupt"]
"singe"[3]: ["soare","elint","singe"]
"price"[4]: ["soare","pried","prize","price"]
"spawn"[3]: ["soare","clint","spawn"]
"fairy"[4]: ["soare","ramin","hairy","fairy"]
"jiffy"[5]: ["soare","clint","zymic","podge","jiffy"]
"filmy"[4]: ["soare","clint","zymic","filmy"]
"stack"[3]: ["soare","clint","stack"]
"chose"[3]: ["soare","beech","chose"]
"sleep"[3]: ["soare","clipt","sleep"]
"ardor"[4]: ["soare","timon","abled","ardor"]
"nanny"[4]: ["soare","clint","fanny","nanny"]
"niece"[4]: ["soare","guilt","pence","niece"]
"woozy"[5]: ["soare","culty","dubbo","foggy","woozy"]
"handy"[4]: ["soare","clint","dungy","handy"]
"grace"[3]: ["soare","ditch","grace"]
"ditto"[3]: ["soare","clint","ditto"]
"stank"[4]: ["soare","clint","stand","stank"]
"cream"[4]: ["soare","clipt","creak","cream"]
"usual"[3]: ["soare","linty","usual"]
"diode"[4]: ["soare","cling","biome","diode"]
"valor"[4]: ["soare","timon","abled","valor"]
"angle"[3]: ["soare","lungi","angle"]
"ninja"[3]: ["soare","clint","ninja"]
"muddy"[4]: ["soare","clint","dumpy","muddy"]
"chase"[3]: ["soare","belch","chase"]
"reply"[4]: ["soare","putid","haply","reply"]
"prone"[3]: ["soare","pwned","prone"]
"spoil"[3]: ["soare","clint","spoil"]
"heart"[3]: ["soare","thymy","heart"]
"shade"[4]: ["soare","cloth","amped","shade"]
"diner"[4]: ["soare","putid","ridic","diner"]
"arson"[2]: ["soare","arson"]
"onion"[3]: ["soare","clint","onion"]
"sleet"[3]: ["soare","clipt","sleet"]
"dowel"[4]: ["soare","mythy","lawin","dowel"]
"couch"[3]: ["soare","culty","couch"]
"palsy"[3]: ["soare","linty","palsy"]
"bowel"[5]: ["soare","mythy","lawin","dowel","bowel"]
"smile"[3]: ["soare","elint","smile"]
"evoke"[3]: ["soare","cling","evoke"]
"creek"[4]: ["soare","putid","fancy","creek"]
"lance"[3]: ["soare","lungi","lance"]
"eagle"[3]: ["soare","lungi","eagle"]
"idiot"[3]: ["soare","clint","idiot"]
"siren"[3]: ["soare","unwit","siren"]
"built"[3]: ["soare","clint","built"]
"embed"[4]: ["soare","clint","buddy","embed"]
"award"[3]: ["soare","ducat","award"]
"dross"[3]: ["soare","croft","dross"]
"annul"[4]: ["soare","clint","yukky","annul"]
"goody"[5]: ["soare","culty","dubbo","howdy","goody"]
"frown"[4]: ["soare","cunit","dwang","frown"]
"patio"[3]: ["soare","blunt","patio"]
"laden"[4]: ["soare","clint","paned","laden"]
"humid"[4]: ["soare","clint","zymic","humid"]
"elite"[3]: ["soare","guilt","elite"]
"lymph"[4]: ["soare","clint","bumph","lymph"]
"edify"[3]: ["soare","clint","edify"]
"might"[4]: ["soare","clint","dhoti","might"]
"reset"[4]: ["soare","untin","wrest","reset"]
"visit"[3]: ["soare","humpy","visit"]
"gusto"[3]: ["soare","kight","gusto"]
"purse"[3]: ["soare","cunei","purse"]
"vapor"[5]: ["soare","timon","abled","favor","vapor"]
"crock"[3]: ["soare","cunit","crock"]
"write"[5]: ["soare","pried","bantu","trite","write"]
"sunny"[3]: ["soare","flint","sunny"]
"loath"[3]: ["soare","latch","loath"]
"chaff"[4]: ["soare","clink","champ","chaff"]
"slide"[3]: ["soare","elint","slide"]
"queer"[3]: ["soare","putid","queer"]
"venom"[3]: ["soare","melon","venom"]
"stamp"[4]: ["soare","clint","staff","stamp"]
"sorry"[2]: ["soare","sorry"]
"still"[3]: ["soare","flint","still"]
"acorn"[3]: ["soare","acold","acorn"]
"aping"[4]: ["soare","clint","aging","aping"]
"pushy"[3]: ["soare","humpy","pushy"]
"tamer"[4]: ["soare","clipt","tatar","tamer"]
"hater"[4]: ["soare","clipt","tatar","hater"]
"mania"[4]: ["soare","clint","ninja","mania"]
"awoke"[3]: ["soare","blond","awoke"]
"brawn"[3]: ["soare","clint","brawn"]
"swift"[3]: ["soare","flint","swift"]
"exile"[3]: ["soare","guilt","exile"]
"birch"[3]: ["soare","guilt","birch"]
"lucky"[4]: ["soare","clint","gulch","lucky"]
"freer"[5]: ["soare","putid","fancy","fewer","freer"]
"risky"[3]: ["soare","bruit","risky"]
"ghost"[3]: ["soare","kight","ghost"]
"plier"[3]: ["soare","putid","plier"]
"lunar"[3]: ["soare","lucid","lunar"]
"winch"[3]: ["soare","clint","winch"]
"snare"[3]: ["soare","natch","snare"]
"nurse"[3]: ["soare","cunei","nurse"]
"house"[3]: ["soare","pulmo","house"]
"borax"[3]: ["soare","filmy","borax"]
"nicer"[4]: ["soare","putid","fling","nicer"]
"lurch"[3]: ["soare","guilt","lurch"]
"exalt"[3]: ["soare","letch","exalt"]
"about"[3]: ["soare","blunt","about"]
"savvy"[3]: ["soare","culty","savvy"]
"toxin"[4]: ["soare","culty","meint","toxin"]
"tunic"[3]: ["soare","clint","tunic"]
"pried"[3]: ["soare","putid","pried"]
"inlay"[4]: ["soare","clint","final","inlay"]
"chump"[3]: ["soare","clint","chump"]
"lanky"[4]: ["soare","clint","yukky","lanky"]
"cress"[4]: ["soare","untin","fresh","cress"]
"eater"[5]: ["soare","clipt","tatar","hater","eater"]
"elude"[4]: ["soare","guilt","flume","elude"]
"cycle"[3]: ["soare","guilt","cycle"]
"kitty"[4]: ["soare","clint","fyked","kitty"]
"boule"[3]: ["soare","guild","boule"]
"moron"[3]: ["soare","cyton","moron"]
"tenet"[4]: ["soare","clint","unmet","tenet"]
"place"[4]: ["soare","belga","clept","place"]
"lobby"[4]: ["soare","culty","upbow","lobby"]
"plush"[3]: ["soare","humpy","plush"]
"vigil"[4]: ["soare","clint","zymic","vigil"]
"index"[4]: ["soare","clint","gived","index"]
"blink"[4]: ["soare","clint","fling","blink"]
"clung"[3]: ["soare","clint","clung"]
"qualm"[3]: ["soare","clink","qualm"]
"croup"[3]: ["soare","cunit","croup"]
"clink"[4]: ["soare","clint","cling","clink"]
"juicy"[4]: ["soare","clint","quick","juicy"]
"stage"[3]: ["soare","cloth","stage"]
"decay"[3]: ["soare","clint","decay"]
"nerve"[4]: ["soare","pried","vuggy","nerve"]
"flier"[4]: ["soare","putid","fling","flier"]
"shaft"[3]: ["soare","clint","shaft"]
"crook"[4]: ["soare","cunit","crock","crook"]
"clean"[3]: ["soare","clint","clean"]
"china"[3]: ["soare","clint","china"]
"ridge"[3]: ["soare","pried","ridge"]
"vowel"[6]: ["soare","mythy","lawin","dowel","bowel","vowel"]
"gnome"[3]: ["soare","cling","gnome"]
"snuck"[3]: ["soare","flint","snuck"]
"icing"[3]: ["soare","clint","icing"]
"spiny"[3]: ["soare","flint","spiny"]
"rigor"[5]: ["soare","cunit","primo","vigor","rigor"]
"snail"[3]: ["soare","clint","snail"]
"flown"[4]: ["soare","clint","blown","flown"]
"rabid"[3]: ["soare","lucid","rabid"]
"prose"[2]: ["soare","prose"]
"thank"[3]: ["soare","clink","thank"]
"poppy"[6]: ["soare","culty","dubbo","foggy","woozy","poppy"]
"budge"[4]: ["soare","guilt","fondu","budge"]
"fiber"[5]: ["soare","putid","fling","fixer","fiber"]
"moldy"[4]: ["soare","culty","fjeld","moldy"]
"dowdy"[4]: ["soare","culty","dubbo","dowdy"]
"kneel"[3]: ["soare","clint","kneel"]
"track"[3]: ["soare","clint","track"]
"caddy"[3]: ["soare","clint","caddy"]
"quell"[4]: ["soare","clint","byway","quell"]
"dumpy"[3]: ["soare","clint","dumpy"]
"paler"[3]: ["soare","clipt","paler"]
"swore"[3]: ["soare","chant","swore"]
"rebar"[5]: ["soare","clipt","gombo","deked","rebar"]
"scuba"[3]: ["soare","culty","scuba"]
"splat"[3]: ["soare","culty","splat"]
"flyer"[4]: ["soare","putid","fancy","flyer"]
"horny"[3]: ["soare","cyton","horny"]
"mason"[2]: ["soare","mason"]
"doing"[3]: ["soare","culty","doing"]
"ozone"[3]: ["soare","cling","ozone"]
"amply"[4]: ["soare","clint","pudgy","amply"]
"molar"[3]: ["soare","filmy","molar"]
"ovary"[2]: ["soare","ovary"]
"beset"[3]: ["soare","built","beset"]
"queue"[3]: ["soare","guilt","queue"]
"cliff"[4]: ["soare","clint","click","cliff"]
"magic"[3]: ["soare","clint","magic"]
"truce"[3]: ["soare","pried","truce"]
"sport"[3]: ["soare","chant","sport"]
"fritz"[3]: ["soare","guilt","fritz"]
"edict"[3]: ["soare","clint","edict"]
"twirl"[3]: ["soare","hurly","twirl"]
"verse"[3]: ["soare","cunei","verse"]
"llama"[3]: ["soare","clink","llama"]
"eaten"[3]: ["soare","clint","eaten"]
"range"[3]: ["soare","cargo","range"]
"whisk"[3]: ["soare","humpy","whisk"]
"hovel"[3]: ["soare","mythy","hovel"]
"rehab"[6]: ["soare","clipt","gombo","deked","rebar","rehab"]
"macaw"[4]: ["soare","clint","wacky","macaw"]
"sigma"[3]: ["soare","culty","sigma"]
"spout"[4]: ["soare","clint","stout","spout"]
"verve"[4]: ["soare","pried","vuggy","verve"]
"sushi"[4]: ["soare","flint","sissy","sushi"]
"dying"[3]: ["soare","clint","dying"]
"fetid"[4]: ["soare","clint","piety","fetid"]
"brain"[4]: ["soare","clint","drain","brain"]
"buddy"[4]: ["soare","clint","dumpy","buddy"]
"thump"[4]: ["soare","clint","thumb","thump"]
"scion"[3]: ["soare","clint","scion"]
"candy"[3]: ["soare","clint","candy"]
"chord"[3]: ["soare","hyoid","chord"]
"basin"[3]: ["soare","linty","basin"]
"march"[3]: ["soare","lucid","march"]
"crowd"[4]: ["soare","cunit","crock","crowd"]
"arbor"[4]: ["soare","timon","abled","arbor"]
"gayly"[4]: ["soare","clint","pudgy","gayly"]
"musky"[4]: ["soare","humpy","musty","musky"]
"stain"[3]: ["soare","clint","stain"]
"dally"[4]: ["soare","clint","pudgy","dally"]
"bless"[3]: ["soare","built","bless"]
"bravo"[2]: ["soare","bravo"]
"stung"[3]: ["soare","flint","stung"]
"title"[3]: ["soare","guilt","title"]
"ruler"[4]: ["soare","putid","queer","ruler"]
"kiosk"[3]: ["soare","kight","kiosk"]
"blond"[3]: ["soare","clint","blond"]
"ennui"[4]: ["soare","clint","gived","ennui"]
"layer"[4]: ["soare","clipt","relay","layer"]
"fluid"[3]: ["soare","clint","fluid"]
"tatty"[5]: ["soare","clint","buffy","patty","tatty"]
"score"[3]: ["soare","chant","score"]
"cutie"[3]: ["soare","guilt","cutie"]
"zebra"[3]: ["soare","arett","zebra"]
"barge"[3]: ["soare","cargo","barge"]
"matey"[3]: ["soare","clint","matey"]
"bluer"[5]: ["soare","putid","lemel","ulcer","bluer"]
"aider"[3]: ["soare","clipt","aider"]
"shook"[4]: ["soare","clint","hopak","shook"]
"river"[4]: ["soare","putid","fling","river"]
"privy"[4]: ["soare","guilt","poncy","privy"]
"betel"[4]: ["soare","clint","lefty","betel"]
"frisk"[3]: ["soare","bruit","frisk"]
"bongo"[4]: ["soare","culty","doing","bongo"]
"begun"[4]: ["soare","clint","dumky","begun"]
"azure"[2]: ["soare","azure"]
"weave"[3]: ["soare","belga","weave"]
"genie"[3]: ["soare","guilt","genie"]
"sound"[3]: ["soare","dingo","sound"]
"glove"[3]: ["soare","cling","glove"]
"braid"[3]: ["soare","clint","braid"]
"scope"[3]: ["soare","clapt","scope"]
"wryly"[3]: ["soare","guilt","wryly"]
"rover"[5]: ["soare","whomp","gavot","lover","rover"]
"assay"[3]: ["soare","linty","assay"]
"ocean"[2]: ["soare","ocean"]
"bloom"[4]: ["soare","clint","gloom","bloom"]
"irate"[3]: ["soare","ditch","irate"]
"later"[3]: ["soare","clipt","later"]
"woken"[5]: ["soare","mythy","lawin","woven","woken"]
"silky"[3]: ["soare","flint","silky"]
"wreck"[4]: ["soare","putid","fancy","wreck"]
"dwelt"[4]: ["soare","clint","exult","dwelt"]
"slate"[3]: ["soare","cloth","slate"]
"smack"[3]: ["soare","clint","smack"]
"solid"[3]: ["soare","dingo","solid"]
"amaze"[4]: ["soare","belga","knead","amaze"]
"hazel"[5]: ["soare","clint","begad","lapel","hazel"]
"wrist"[3]: ["soare","bruit","wrist"]
"jolly"[4]: ["soare","culty","fjeld","jolly"]
"globe"[4]: ["soare","cling","glove","globe"]
"flint"[3]: ["soare","clint","flint"]
"rouse"[2]: ["soare","rouse"]
"civil"[3]: ["soare","clint","civil"]
"vista"[3]: ["soare","linty","vista"]
"relax"[4]: ["soare","clipt","relay","relax"]
"cover"[6]: ["soare","whomp","gavot","lover","rover","cover"]
"alive"[4]: ["soare","lungi","alike","alive"]
"beech"[3]: ["soare","clint","beech"]
"jetty"[4]: ["soare","clint","hyphy","jetty"]
"bliss"[4]: ["soare","humpy","visit","bliss"]
"vocal"[4]: ["soare","cital","focal","vocal"]
"often"[3]: ["soare","melon","often"]
"dolly"[4]: ["soare","culty","fjeld","dolly"]
"eight"[3]: ["soare","clint","eight"]
"joker"[6]: ["soare","whomp","gavot","adobo","foyer","joker"]
"since"[4]: ["soare","elint","singe","since"]
"event"[3]: ["soare","clint","event"]
"ensue"[3]: ["soare","ennui","ensue"]
"shunt"[3]: ["soare","flint","shunt"]
"diver"[5]: ["soare","putid","ridic","diner","diver"]
"poser"[3]: ["soare","loser","poser"]
"worst"[2]: ["soare","worst"]
"sweep"[4]: ["soare","clipt","spend","sweep"]
"alley"[3]: ["soare","clint","alley"]
"creed"[3]: ["soare","putid","creed"]
"anime"[3]: ["soare","lungi","anime"]
"leafy"[4]: ["soare","letch","leaky","leafy"]
"bosom"[3]: ["soare","ilium","bosom"]
"dunce"[4]: ["soare","guilt","queue","dunce"]
"stare"[3]: ["soare","natch","stare"]
"pudgy"[4]: ["soare","clint","dumpy","pudgy"]
"waive"[3]: ["soare","lungi","waive"]
"choir"[3]: ["soare","cunit","choir"]
"stood"[4]: ["soare","clint","stomp","stood"]
"spoke"[3]: ["soare","clapt","spoke"]
"outgo"[4]: ["soare","clint","outdo","outgo"]
"delay"[4]: ["soare","clint","begad","delay"]
"bilge"[4]: ["soare","guilt","liege","bilge"]
"ideal"[3]: ["soare","clint","ideal"]
"clasp"[4]: ["soare","mulch","class","clasp"]
"seize"[4]: ["soare","elint","spike","seize"]
"hotly"[3]: ["soare","culty","hotly"]
"laugh"[4]: ["soare","clint","pudgy","laugh"]
"sieve"[4]: ["soare","elint","siege","sieve"]
"block"[4]: ["soare","clint","flock","block"]
"meant"[3]: ["soare","letch","meant"]
"grape"[5]: ["soare","ditch","bevvy","frame","grape"]
"noose"[4]: ["soare","pulmo","goose","noose"]
"hardy"[3]: ["soare","lucid","hardy"]
"shied"[3]: ["soare","clipt","shied"]
"drawl"[3]: ["soare","clint","drawl"]
"daisy"[3]: ["soare","linty","daisy"]
"putty"[4]: ["soare","clint","thumb","putty"]
"strut"[3]: ["soare","cutup","strut"]
"burnt"[3]: ["soare","guilt","burnt"]
"tulip"[3]: ["soare","clint","tulip"]
"crick"[4]: ["soare","guilt","poncy","crick"]
"idyll"[5]: ["soare","clint","zymic","dilly","idyll"]
"vixen"[4]: ["soare","clint","gived","vixen"]
"furor"[4]: ["soare","cunit","humor","furor"]
"geeky"[4]: ["soare","clint","buddy","geeky"]
"cough"[4]: ["soare","culty","couch","cough"]
"naive"[4]: ["soare","lungi","anime","naive"]
"shoal"[2]: ["soare","shoal"]
"stork"[4]: ["soare","chant","story","stork"]
"bathe"[3]: ["soare","lungi","bathe"]
"aunty"[4]: ["soare","clint","tangy","aunty"]
"check"[4]: ["soare","clint","cheek","check"]
"prime"[5]: ["soare","pried","prize","price","prime"]
"brass"[3]: ["soare","sechs","brass"]
"outer"[3]: ["soare","often","outer"]
"furry"[3]: ["soare","hurly","furry"]
"razor"[5]: ["soare","timon","abled","favor","razor"]
"elect"[3]: ["soare","clint","elect"]
"evict"[4]: ["soare","clint","edict","evict"]
"imply"[5]: ["soare","clint","zymic","filmy","imply"]
"demur"[4]: ["soare","putid","udder","demur"]
"quota"[3]: ["soare","blunt","quota"]
"haven"[4]: ["soare","clint","vughs","haven"]
"cavil"[3]: ["soare","clint","cavil"]
"swear"[4]: ["soare","paean","smear","swear"]
"crump"[3]: ["soare","guilt","crump"]
"dough"[5]: ["soare","culty","hewgh","bough","dough"]
"gavel"[4]: ["soare","clint","begad","gavel"]
"wagon"[4]: ["soare","blunt","amigo","wagon"]
"salon"[3]: ["soare","shoal","salon"]
"nudge"[4]: ["soare","guilt","fondu","nudge"]
"harem"[5]: ["soare","clipt","gombo","dream","harem"]
"pitch"[4]: ["soare","clint","piccy","pitch"]
"sworn"[3]: ["soare","chant","sworn"]
"pupil"[5]: ["soare","clint","zymic","vigil","pupil"]
"excel"[4]: ["soare","clint","belch","excel"]
"stony"[3]: ["soare","clint","stony"]
"cabin"[3]: ["soare","clint","cabin"]
"unzip"[4]: ["soare","clint","zymic","unzip"]
"queen"[4]: ["soare","clint","dumky","queen"]
"trout"[3]: ["soare","cunit","trout"]
"polyp"[3]: ["soare","culty","polyp"]
"earth"[4]: ["soare","clipt","tatar","earth"]
"storm"[5]: ["soare","chant","story","stork","storm"]
"until"[3]: ["soare","clint","until"]
"taper"[3]: ["soare","clipt","taper"]
"enter"[4]: ["soare","putid","retch","enter"]
"child"[4]: ["soare","clint","chill","child"]
"adopt"[3]: ["soare","blunt","adopt"]
"minor"[3]: ["soare","cunit","minor"]
"fatty"[4]: ["soare","clint","buffy","fatty"]
"husky"[3]: ["soare","humpy","husky"]
"brave"[4]: ["soare","ditch","bevvy","brave"]
"filet"[3]: ["soare","clint","filet"]
"slime"[4]: ["soare","elint","slide","slime"]
"glint"[4]: ["soare","clint","flint","glint"]
"tread"[4]: ["soare","clipt","tatar","tread"]
"steal"[3]: ["soare","knelt","steal"]
"regal"[4]: ["soare","clipt","relay","regal"]
"guest"[3]: ["soare","built","guest"]
"every"[5]: ["soare","dirty","query","leery","every"]
"murky"[3]: ["soare","guilt","murky"]
"share"[3]: ["soare","natch","share"]
"spore"[4]: ["soare","chant","swore","spore"]
"hoist"[3]: ["soare","ilium","hoist"]
"buxom"[4]: ["soare","clint","whoop","buxom"]
"inner"[5]: ["soare","putid","fling","nicer","inner"]
"otter"[4]: ["soare","often","outer","otter"]
"dimly"[4]: ["soare","clint","zymic","dimly"]
"level"[5]: ["soare","clint","byway","quell","level"]
"sumac"[3]: ["soare","culty","sumac"]
"donut"[4]: ["soare","culty","mount","donut"]
"stilt"[4]: ["soare","flint","spilt","stilt"]
"arena"[5]: ["soare","clipt","gombo","kneed","arena"]
"sheet"[4]: ["soare","clipt","sweet","sheet"]
"scrub"[3]: ["soare","cutup","scrub"]
"fancy"[3]: ["soare","clint","fancy"]
"slimy"[4]: ["soare","flint","slick","slimy"]
"pearl"[3]: ["soare","thymy","pearl"]
"silly"[4]: ["soare","flint","silky","silly"]
"porch"[3]: ["soare","cyton","porch"]
"dingo"[3]: ["soare","clint","dingo"]
"sepia"[3]: ["soare","knelt","sepia"]
"amble"[4]: ["soare","lungi","amply","amble"]
"shady"[4]: ["soare","clint","whomp","shady"]
"bread"[5]: ["soare","clipt","gombo","deked","bread"]
"friar"[4]: ["soare","lucid","briar","friar"]
"reign"[4]: ["soare","putid","fling","reign"]
"dairy"[5]: ["soare","ramin","hairy","fairy","dairy"]
"quill"[4]: ["soare","clint","guild","quill"]
"cross"[3]: ["soare","croft","cross"]
"brood"[4]: ["soare","cunit","dowly","brood"]
"tuber"[3]: ["soare","putid","tuber"]
"shear"[5]: ["soare","paean","smear","swear","shear"]
"posit"[3]: ["soare","ilium","posit"]
"blank"[3]: ["soare","clink","blank"]
"villa"[4]: ["soare","clint","valid","villa"]
"shank"[3]: ["soare","clint","shank"]
"piggy"[5]: ["soare","clint","zymic","podge","piggy"]
"freak"[5]: ["soare","clipt","gombo","kneed","freak"]
"which"[4]: ["soare","clint","quick","which"]
"among"[3]: ["soare","blunt","among"]
"fecal"[3]: ["soare","clint","fecal"]
"shell"[3]: ["soare","clipt","shell"]
"would"[3]: ["soare","culty","would"]
"algae"[4]: ["soare","lungi","eagle","algae"]
"large"[4]: ["soare","cargo","barge","large"]
"rabbi"[4]: ["soare","lucid","briar","rabbi"]
"agony"[4]: ["soare","blunt","among","agony"]
"amuse"[3]: ["soare","battu","amuse"]
"bushy"[3]: ["soare","humpy","bushy"]
"copse"[3]: ["soare","pulmo","copse"]
"swoon"[4]: ["soare","clint","pwned","swoon"]
"knife"[3]: ["soare","guilt","knife"]
"pouch"[4]: ["soare","culty","vouch","pouch"]
"ascot"[3]: ["soare","mason","ascot"]
"plane"[4]: ["soare","belga","clept","plane"]
"crown"[3]: ["soare","cunit","crown"]
"urban"[3]: ["soare","lucid","urban"]
"snide"[3]: ["soare","elint","snide"]
"relay"[3]: ["soare","clipt","relay"]
"abide"[4]: ["soare","lungi","waive","abide"]
"viola"[4]: ["soare","blunt","offal","viola"]
"rajah"[4]: ["soare","lucid","mythy","rajah"]
"straw"[3]: ["soare","party","straw"]
"dilly"[4]: ["soare","clint","zymic","dilly"]
"crash"[3]: ["soare","sechs","crash"]
"amass"[3]: ["soare","mulch","amass"]
"third"[3]: ["soare","hurly","third"]
"trick"[4]: ["soare","guilt","fritz","trick"]
"tutor"[3]: ["soare","cunit","tutor"]
"woody"[5]: ["soare","culty","dubbo","howdy","woody"]
"blurb"[4]: ["soare","hurly","blurt","blurb"]
"grief"[4]: ["soare","putid","fling","grief"]
"disco"[3]: ["soare","kight","disco"]
"where"[3]: ["soare","there","where"]
"sassy"[4]: ["soare","culty","savvy","sassy"]
"beach"[4]: ["soare","letch","peach","beach"]
"sauna"[4]: ["soare","culty","squad","sauna"]
"comic"[4]: ["soare","culty","conic","comic"]
"clued"[3]: ["soare","clint","clued"]
"creep"[4]: ["soare","putid","haply","creep"]
"caste"[5]: ["soare","battu","waste","paste","caste"]
"graze"[6]: ["soare","ditch","bevvy","frame","grape","graze"]
"snuff"[3]: ["soare","flint","snuff"]
"frock"[3]: ["soare","cunit","frock"]
"gonad"[3]: ["soare","cital","gonad"]
"drunk"[4]: ["soare","guilt","crump","drunk"]
"prong"[4]: ["soare","cunit","dwang","prong"]
"lurid"[3]: ["soare","guilt","lurid"]
"steel"[3]: ["soare","clipt","steel"]
"halve"[5]: ["soare","lungi","amply","valve","halve"]
"buyer"[5]: ["soare","putid","queer","ruler","buyer"]
"vinyl"[3]: ["soare","clint","vinyl"]
"utile"[3]: ["soare","guilt","utile"]
"smell"[4]: ["soare","clipt","shell","smell"]
"adage"[3]: ["soare","belga","adage"]
"worry"[3]: ["soare","dryly","worry"]
"tasty"[4]: ["soare","linty","hasty","tasty"]
"local"[5]: ["soare","cital","focal","vocal","local"]
"trade"[3]: ["soare","ditch","trade"]
"finch"[4]: ["soare","clint","winch","finch"]
"ashen"[4]: ["soare","alkyl","asset","ashen"]
"modal"[3]: ["soare","cital","modal"]
"gaunt"[6]: ["soare","clint","death","jaunt","taunt","gaunt"]
"clove"[3]: ["soare","cling","clove"]
"enact"[3]: ["soare","letch","enact"]
"adorn"[3]: ["soare","acold","adorn"]
"roast"[2]: ["soare","roast"]
"speck"[3]: ["soare","clipt","speck"]
"sheik"[3]: ["soare","clipt","sheik"]
"missy"[3]: ["soare","humpy","missy"]
"grunt"[3]: ["soare","guilt","grunt"]
"snoop"[4]: ["soare","clint","pwned","snoop"]
"party"[4]: ["soare","lucid","mythy","party"]
"touch"[3]: ["soare","culty","touch"]
"mafia"[4]: ["soare","clint","mixup","mafia"]
"emcee"[4]: ["soare","guilt","munch","emcee"]
"array"[4]: ["soare","lucid","mythy","array"]
"south"[4]: ["soare","dingo","sooth","south"]
"vapid"[5]: ["soare","clint","mixup","aphid","vapid"]
"jelly"[4]: ["soare","clint","byway","jelly"]
"skulk"[4]: ["soare","flint","hunky","skulk"]
"angst"[3]: ["soare","linty","angst"]
"tubal"[4]: ["soare","clint","tutty","tubal"]
"lower"[3]: ["soare","whomp","lower"]
"crest"[4]: ["soare","untin","wrest","crest"]
"sweat"[3]: ["soare","knelt","sweat"]
"cyber"[4]: ["soare","putid","fancy","cyber"]
"adore"[2]: ["soare","adore"]
"tardy"[4]: ["soare","lucid","hardy","tardy"]
"swami"[3]: ["soare","clint","swami"]
"notch"[4]: ["soare","culty","pinch","notch"]
"groom"[4]: ["soare","cunit","dowly","groom"]
"roach"[2]: ["soare","roach"]
"hitch"[4]: ["soare","clint","piccy","hitch"]
"young"[3]: ["soare","culty","young"]
"align"[3]: ["soare","clint","align"]
"ready"[3]: ["soare","react","ready"]
"frond"[4]: ["soare","cunit","dwang","frond"]
"strap"[3]: ["soare","party","strap"]
"puree"[3]: ["soare","pried","puree"]
"realm"[4]: ["soare","react","ready","realm"]
"venue"[4]: ["soare","guilt","undue","venue"]
"swarm"[3]: ["soare","kempt","swarm"]
"offer"[3]: ["soare","often","offer"]
"seven"[4]: ["soare","clipt","seedy","seven"]
"dryer"[4]: ["soare","putid","flyby","dryer"]
"diary"[4]: ["soare","ducat","dwarf","diary"]
"dryly"[4]: ["soare","guilt","wryly","dryly"]
"drank"[4]: ["soare","clint","deked","drank"]
"acrid"[3]: ["soare","lucid","acrid"]
"heady"[3]: ["soare","letch","heady"]
"theta"[4]: ["soare","clint","matey","theta"]
"junto"[3]: ["soare","clint","junto"]
"pixie"[4]: ["soare","guilt","pence","pixie"]
"quoth"[4]: ["soare","clint","outdo","quoth"]
"bonus"[4]: ["soare","ilium","focus","bonus"]
"shalt"[3]: ["soare","clint","shalt"]
"penne"[4]: ["soare","guilt","munch","penne"]
"amend"[3]: ["soare","clint","amend"]
"datum"[4]: ["soare","clint","buffy","datum"]
"build"[4]: ["soare","clint","guild","build"]
"piano"[2]: ["soare","piano"]
"shelf"[4]: ["soare","clipt","shell","shelf"]
"lodge"[3]: ["soare","guild","lodge"]
"suing"[4]: ["soare","flint","spiny","suing"]
"rearm"[3]: ["soare","thymy","rearm"]
"coral"[3]: ["soare","filmy","coral"]
"ramen"[4]: ["soare","clipt","gombo","ramen"]
"worth"[4]: ["soare","cyton","forth","worth"]
"psalm"[3]: ["soare","mulch","psalm"]
"infer"[4]: ["soare","putid","fling","infer"]
"overt"[3]: ["soare","retro","overt"]
"mayor"[4]: ["soare","timon","major","mayor"]
"ovoid"[4]: ["soare","clint","widow","ovoid"]
"glide"[3]: ["soare","guilt","glide"]
"usage"[3]: ["soare","belch","usage"]
"poise"[3]: ["soare","pulmo","poise"]
"randy"[4]: ["soare","lucid","hardy","randy"]
"chuck"[4]: ["soare","clint","chump","chuck"]
"prank"[4]: ["soare","clint","deked","prank"]
"fishy"[3]: ["soare","humpy","fishy"]
"tooth"[4]: ["soare","culty","month","tooth"]
"ether"[4]: ["soare","putid","garth","ether"]
"drove"[4]: ["soare","pwned","erode","drove"]
"idler"[4]: ["soare","putid","ridic","idler"]
"swath"[4]: ["soare","clint","staff","swath"]
"stint"[3]: ["soare","flint","stint"]
"while"[4]: ["soare","guilt","exile","while"]
